股票代码,股票简称,现价(元),涨跌幅(%),所属同花顺行业,所属概念,动态市盈率2018.12.13,所属概念数量(个),a股流通市值 (元)2018.12.13,dde大单净额(元)2018.12.13,小单净额(元)2018.12.13,中单净额(元)2018.12.13,特大单净额(元)2018.12.13,小单买入金额(元)2018.12.13,小单卖出金额(元)2018.12.13,中单买入金额(元)2018.12.13,中单卖出金额(元)2018.12.13,dde大单买入金额(元)2018.12.13,dde大单卖出金额(元)2018.12.13,特大单买入金额(元)2018.12.13,特大单卖出金额(元)2018.12.13,特大单净比(%)2018.12.13
600082.SH,海泰发展,4.65,-2.11,综合-综合-综合Ⅲ,参股新三板;滨海新区;天津自贸区;循环经济;余额宝;蚂蚁金服概念;环渤海;京津冀一体化;天津国资改革;地方国资改革;创投,2091.30,11.,2947412739.30,-3404004.30,1285784.00,2118220.20,-87725.00,27086045.80,25800261.70,37327011.70,35208791.50,4583190.00,7987194.30,928000.00,1015725.00,-0.13
600139.SH,西部资源,3.43,0.88,综合-综合-综合Ⅲ,锂电池;锂矿;成渝特区;铜;稀有金属;涉矿;融资融券;白银;文化传媒;钴;转融券标的;融资租赁;股权转让;小金属概念,-47.02,14.,2270284442.44,-2934460.70,1684878.80,1249581.90,0.00,7065775.90,5380897.10,14792028.40,13542446.50,1925700.80,4860161.50,0.00,0.00,0.00
600175.SH,美都能源,2.41,0.00,综合-综合-综合Ⅲ,参股保险;小额贷款;油气开采;金改;油品改革;超级电容;融资融券;网约车;沪股通;正极材料;转融券标的;钴;锂矿;小金属概念;天然气;锂电池;新能源汽车;证金持股;石墨烯,44.45,19.,5907000396.69,-5855924.70,2495754.00,3360170.70,1205743.00,11745534.90,9249780.90,26542695.20,23182524.50,54921442.30,60777367.00,36947176.00,35741433.00,1.29
600234.SH,ST山水,8.22,1.11,综合-综合-综合Ⅲ,电子信息;ST板块;网络游戏;壳资源,-466.35,4.,1664105133.60,410426.70,-102228.10,-308198.60,0.00,2173366.50,2275594.60,1131746.10,1439944.70,410426.70,0.00,0.00,0.00,0.00
600281.SH,太化股份,3.81,-1.55,综合-综合-综合Ⅲ,新材料概念;发泡餐具解禁;甲醇;纳米;PVC;烧碱;煤化工;粗苯;山西国资改革;地方国资改革,-42.55,10.,1959871715.25,-524522.00,3295118.30,-2770596.30,0.00,7421504.30,4126386.00,6453309.60,9223905.90,360035.00,884557.00,0.00,0.00,0.00
600382.SH,广东明珠,8.62,0.82,综合-综合-综合Ⅲ,三旧改造;涉矿;外贸;融资融券;转融券标的;PPP概念;铁矿石,10.36,7.,2945855692.00,1151023.00,1175822.60,-2326845.60,0.00,9037272.60,7861450.00,4115382.00,6442227.60,2181945.00,1030922.00,0.00,0.00,0.00
600620.SH,天宸股份,6.01,0.50,综合-综合-综合Ⅲ,养老地产;老龄化;融资融券;养老概念;转融券标的,51.05,5.,4126929449.13,-577941.00,-502093.60,1080034.60,0.00,7434004.50,7936098.10,5131026.00,4050991.40,360600.00,938541.00,0.00,0.00,0.00
600696.SH,ST岩石,4.46,0.00,综合-综合-综合Ⅲ,ST板块;P2P概念;国际板;互联网金融;融资租赁;互联网+;壳资源,53.47,7.,1518922353.00,-266288.00,353256.90,-86968.85,0.00,2989821.05,2636564.20,2911691.09,2998659.94,0.00,266288.00,0.00,0.00,0.00
600730.SH,中国高科,4.87,0.62,综合-综合-综合Ⅲ,职业教育;在线教育;外贸;融资融券;转融券标的;高校;央企国资改革;中字头股票,630.48,8.,2857014729.74,796553.96,416946.90,-1213500.90,0.00,8528346.70,8111399.76,6608204.40,7821705.30,2077349.00,1280795.04,0.00,0.00,0.00
600747.SH,ST大控,1.40,0.00,综合-综合-综合Ⅲ,元器件;互联网金融;大连自贸区;东北亚经贸中心;环渤海;ST板块;在线教育;涉矿;期货概念;职业教育;证金持股;一元股,-669.88,12.,1490059758.60,-3508890.00,738753.00,2770137.00,-5146122.60,1687720.40,948967.40,7101700.60,4331563.60,5927815.00,9436705.00,1120618.00,6266740.60,-34.97
600784.SH,鲁银投资,5.68,-0.18,综合-综合-综合Ⅲ,股权转让;食盐;地方国资改革;山东国资改革,37.22,4.,3227250165.28,-1416943.00,2086269.50,-669326.50,0.00,12265427.00,10179157.50,11139115.00,11808441.50,1990314.00,3407257.00,0.00,0.00,0.00
600803.SH,新奥股份,10.96,1.58,综合-综合-综合Ⅲ,蜱虫;油价上调;油气开采;融资融券;沪股通;转融券标的;LNG加气站;天然气;甲醇,9.77,9.,13473739381.68,5008417.00,-10884152.00,5875735.00,4125173.00,47304038.00,58188190.00,81427921.00,75552186.00,40457596.00,35449179.00,5226371.00,1101198.00,2.44
600811.SH,东方集团,3.82,1.06,综合-综合-综合Ⅲ,参股券商;振兴东北;依法治国概念;融资融券;沪股通;转融券标的;牛羊肉;贸易战受益股;供应链金融;电子商务,13.76,10.,12504668078.58,-7779075.40,3445581.20,4333494.60,-3987312.00,15088372.60,11642791.80,14533515.50,10200020.90,5183904.10,12962979.50,1847352.00,5834664.00,-11.46
600965.SH,福成股份,9.90,-0.20,综合-综合-综合Ⅲ,殡仪服务;牛羊肉;家禽养殖;沪股通,42.07,4.,8105139454.50,0.00,1348753.30,-1348753.30,0.00,3390266.20,2041512.90,1015777.00,2364530.30,0.00,0.00,0.00,0.00,0.00
000629.SZ,攀钢钒钛,3.31,1.22,有色金属-有色冶炼加工-小金属,循环经济;中澳自贸区;钒涨价;轻型合金;钒电池;稀有金属;钛;摘帽;央企国资改革;小金属概念;钛白粉;证金持股,10.41,12.,15779230172.75,12759349.00,-6010751.00,-6748598.00,7373841.00,44841615.00,50852366.00,82232238.00,88980836.00,109037727.00,96278378.00,56662718.00,49288877.00,3.12
000657.SZ,中钨高新,5.83,0.17,有色金属-有色冶炼加工-小金属,新材料概念;钨;深股通;国改双百行动;央企国资改革;小金属概念;创投,37.21,7.,2645260375.89,999774.20,858759.80,-1858534.00,0.00,9459830.30,8601070.50,9255342.60,11113876.60,1467774.20,468000.00,0.00,0.00,0.00
000693.SZ,*ST华泽,--,--,有色金属-有色冶炼加工-小金属,--,--,0.,--,--,--,--,--,--,--,--,--,--,--,--,--,--
000762.SZ,西藏矿业,7.63,1.06,有色金属-有色冶炼加工-小金属,稀缺资源;锂矿;高岭土概念;稀有金属;融资融券;铬铁;深股通;锂电原料;钴;转融券标的;盐湖提锂;西藏国资改革;地方国资改革;小金属概念;锂电池;证金持股,-39.43,16.,3631507312.65,-1151005.28,-2402386.00,3553391.40,0.00,19682235.00,22084621.12,14936635.00,11383243.60,2709394.02,3860399.30,0.00,0.00,0.00
000831.SZ,五矿稀土,9.23,0.55,有色金属-有色冶炼加工-小金属,稀土整合;电子商务;深股通;央企国资改革;小金属概念;稀土永磁,84.90,6.,9053605294.63,-1066414.20,4587973.00,-3521559.50,3204429.00,26115991.30,21528017.60,22956152.40,26477711.90,7213217.20,8279631.40,3204429.00,0.00,5.69
000960.SZ,锡业股份,10.17,1.50,有色金属-有色冶炼加工-小金属,MSCI潜力股;厄尔尼诺概念;沪锡;稀缺资源;融资融券;钨;锌电池;深股通;转融券标的;铟;国改双百行动;地方国资改革;小金属概念;云南国资改革;债转股,17.49,15.,14300475062.58,4509042.50,-6037183.00,1528140.00,-4039364.60,31702698.30,37739880.80,47849646.00,46321506.00,23994629.30,19485586.80,0.00,4039364.60,-3.90
002070.SZ,*ST众和,--,--,有色金属-有色冶炼加工-小金属,--,--,0.,--,--,--,--,--,--,--,--,--,--,--,--,--,--
002167.SZ,东方锆业,5.84,0.00,有色金属-有色冶炼加工-小金属,稀有金属;中澳自贸区;涉矿;军工;液态金属;新材料概念;铀矿;深股通;小金属概念;国产航母;核电,180.26,11.,3420607428.00,-112635.00,1510244.00,-1397609.00,-1720754.00,10655114.50,9144870.50,7153884.00,8551493.00,3828709.00,3941344.00,661549.00,2382303.00,-7.95
002378.SZ,章源钨业,5.21,0.97,有色金属-有色冶炼加工-小金属,稀有金属;石墨烯手机;赣南振兴;融资融券;钨;深股通;转融券标的;小金属概念;机构重仓,130.02,9.,4809965259.00,980878.52,638705.90,-1619584.40,0.00,8652030.20,8013324.32,6468366.10,8087950.50,3387526.00,2406647.48,0.00,0.00,0.00
002428.SZ,云南锗业,5.68,3.27,有色金属-有色冶炼加工-小金属,锗涨价;融资融券;深股通;转融券标的;砷化镓;稀有金属;军工;小金属概念,306.18,8.,3658766990.24,6674983.20,-5831393.00,-843590.00,1104.00,35984909.80,41816303.00,45915706.00,46759296.00,43206888.20,36531905.00,11657412.00,11656308.00,0.00
002460.SZ,赣锋锂业,25.48,-0.82,有色金属-有色冶炼加工-小金属,新能源;MSCI潜力股;新材料概念;融资融券;深股通;转融券标的;新能源汽车;白马股;MSCI概念;镍氢电池;锂电制造;锂矿;固态电池;锂电池;锂电原料;特斯拉,22.71,16.,20398246301.16,-26632956.00,48219450.00,-21586498.00,-7959678.00,226608613.00,178389159.00,225169729.00,246756227.00,260241252.00,286874208.00,135112331.00,143072009.00,-1.12
002466.SZ,天齐锂业,33.50,0.27,有色金属-有色冶炼加工-小金属,MSCI概念;特斯拉;深股通;白马股;化肥;锂电原料;锂矿;融资融券;转融券标的;固态电池;证金持股;锂电池,16.99,12.,38054660301.50,36868838.00,30975050.00,-67843885.00,26925128.00,253983388.00,223008341.00,269111215.00,336955100.00,390050477.00,353181639.00,202273035.00,175347907.00,2.95
002716.SZ,金贵银业,6.89,-0.58,有色金属-有色冶炼加工-小金属,涉矿;白银;金属锑;深股通;锌;送转填权;股权转让;小金属概念;黄金概念,23.68,9.,3736828816.24,-20182994.50,28628111.00,-8445117.00,-9795421.40,77579787.40,48951675.90,48339337.00,56784454.00,40192279.10,60375273.60,16587641.80,26383063.20,-5.90
002842.SZ,翔鹭钨业,17.31,-3.13,有色金属-有色冶炼加工-小金属,钨;小金属概念,24.70,2.,1243290750.00,-804092.40,3186051.00,-2381959.30,-469310.40,19684976.30,16498924.60,9104181.90,11486141.20,1271553.00,2075645.40,523200.00,992510.40,-1.56
300618.SZ,寒锐钴业,78.33,0.37,有色金属-有色冶炼加工-小金属,深股通;锂电池;钴;白马股;小金属概念,16.08,5.,8928366720.00,2371822.00,4050302.00,-6422124.00,1932211.00,107450555.00,103400253.00,98228231.00,104650355.00,79296701.00,76924879.00,31865091.00,29932880.00,0.68
600111.SH,北方稀土,9.60,-0.52,有色金属-有色冶炼加工-小金属,MSCI概念;稀土整合;稀缺资源;参股新三板;再生金属;稀有金属;融资融券;沪股通;新材料概念;转融券标的;地方国资改革;小金属概念;稀土永磁,68.95,13.,34877433600.00,-21358420.60,37709626.00,-16351205.00,-5324186.60,113620369.00,75910743.40,127013532.00,143364737.00,92804268.00,114162688.60,24532558.00,29856744.60,-1.60
600259.SH,广晟有色,24.38,0.21,有色金属-有色冶炼加工-小金属,再生金属;新材料概念;东盟北部湾;稀土整合;融资融券;钨;转融券标的;稀有金属;稀缺资源;广东国资改革;地方国资改革;小金属概念;稀土永磁;证金持股,-40.81,14.,6390550109.48,-3045901.52,3812031.00,-766129.40,1058274.58,17331930.90,13519899.98,17553126.80,18319256.20,3742684.58,6788586.10,1058274.58,0.00,2.74
600392.SH,盛和资源,9.48,0.85,有色金属-有色冶炼加工-小金属,参股保险;低碳;融资融券;钛;转融券标的;沪股通;央企国资改革;小金属概念;海南自贸区;稀土永磁,36.90,10.,13230454753.20,9005227.80,-7946655.00,-1058573.00,-985866.20,63355385.20,71302040.00,77557155.00,78615728.00,55384544.00,46379316.20,8475393.00,9461259.20,-0.50
600456.SH,宝钛股份,16.23,-0.12,有色金属-有色冶炼加工-小金属,3D打印;军工;稀缺资源;纳米纸;核电;轻型合金;航天军工;融资融券;转融券标的;钛;稀有金属;国产航母;大飞机;小金属概念;证金持股;宝能系,54.10,16.,6983212311.00,-5978639.00,7746299.00,-1767660.00,-1039940.00,32498796.30,24752497.30,33937747.00,35705407.00,5956092.00,11934731.00,0.00,1039940.00,-1.44
600459.SH,贵研铂业,12.33,-0.24,有色金属-有色冶炼加工-小金属,PM2.5;废气处理;固废处理;稀缺资源;再生金属;铂矿;尾气治理;钌催化剂;稀有金属;军工;融资融券;沪股通;节能环保;转融券标的;新材料概念;云南国资改革;地方国资改革;小金属概念;氢燃料电池,26.12,19.,4183212231.45,-15531451.90,10918179.00,4613273.00,-5531542.30,51175911.00,40257732.10,69220370.00,64607097.00,25449578.60,40981030.50,6122254.40,11653796.70,-3.79
600549.SH,厦门钨业,13.36,0.68,有色金属-有色冶炼加工-小金属,再生金属;稀缺资源;新材料概念;MSCI潜力股;稀土整合;海峡西岸;电动自行车;融资融券;镍氢电池;钨;沪股通;钼;正极材料;转融券标的;稀有金属;钴;动力电池回收;地方国资改革;小金属概念;锂电池;稀土永磁,31.47,21.,18784777232.00,1376052.20,-1455962.00,79909.90,-984562.90,22499363.90,23955326.00,24193846.30,24113936.40,8246364.80,6870312.60,2106965.70,3091528.60,-1.79
601958.SH,金钼股份,6.11,0.16,有色金属-有色冶炼加工-小金属,铀矿;稀有金属;低碳;MSCI概念;融资融券;辉钼;沪股通;转融券标的;钼;小金属概念;证金持股;机构重仓,65.16,12.,19714552884.00,-4596945.00,4352980.00,243964.80,-1252359.00,30347750.00,25994769.80,20574884.40,20330919.60,4299438.00,8896383.00,0.00,1252359.00,-2.27
603399.SH,吉翔股份,10.51,-0.38,有色金属-有色冶炼加工-小金属,辉钼;钼;影视娱乐;文化传媒;小金属概念;百度概念,18.63,6.,5339612320.99,-621181.76,-367442.80,988624.60,0.00,7357329.76,7724772.60,10369517.00,9380892.40,0.00,621181.76,0.00,0.00,0.00
603663.SH,三祥新材,15.90,0.32,有色金属-有色冶炼加工-小金属,新材料概念,24.67,1.,780163710.00,0.00,-626286.00,626286.00,0.00,3190296.50,3816582.50,2101188.00,1474902.00,0.00,0.00,0.00,0.00,0.00
603799.SH,华友钴业,34.50,1.14,有色金属-有色冶炼加工-小金属,MSCI潜力股;供应链金融;新材料概念;沪股通;钴;锂电原料;白马股;MSCI概念;正极材料;小金属概念;锂电池,11.23,11.,28285901124.00,14165554.00,-17095550.00,2930000.00,28187711.00,225952439.00,243047993.00,336877620.00,333947620.00,198710251.00,184544697.00,75432700.00,47244989.00,3.70
603993.SH,洛阳钼业,4.15,1.47,有色金属-有色冶炼加工-小金属,MSCI概念;辉钼;融资融券;沪股通;锂电原料;锂电池;钨;铜;转融券标的;钴;钼;稀有金属;小金属概念;黄金概念;机构重仓;磷化工,16.25,16.,73312956219.45,30132128.00,-38005586.00,7873458.00,35671148.00,99792994.00,137798580.00,166874374.00,159000916.00,151320765.00,121188637.00,86000867.00,50329719.00,8.53
000630.SZ,铜陵有色,2.06,0.49,有色金属-有色冶炼加工-铜,稀缺资源;稀有金属;MSCI概念;循环经济;新材料概念;铜;融资融券;白银;深股通;钼;转融券标的;铜冶炼;国改双百行动;安徽国资改革;地方国资改革;小金属概念,24.56,16.,19694751884.02,845370.10,107805.60,-953175.70,-1145552.00,7971488.90,7863683.30,17988430.00,18941605.70,31373870.30,30528500.20,19427823.00,20573375.00,-2.00
000878.SZ,云南铜业,8.34,0.97,有色金属-有色冶炼加工-铜,再生金属;稀缺资源;国家科技大会;铜;融资融券;深股通;转融券标的;铜冶炼;期货概念,22.47,9.,11812708913.04,4220157.10,-427863.00,-3792294.20,1752926.90,19796599.80,20224462.70,21982616.50,25774910.70,12078780.10,7858623.00,1752926.90,0.00,3.25
002171.SZ,楚江新材,5.29,0.00,有色金属-有色冶炼加工-铜,循环经济;再生金属;铜冶炼;铜;深股通;3D打印;军民融合;锂电池;碳纤维;并购重组;军工,13.63,11.,5435512447.91,3541434.60,-2578428.60,-963006.00,530588.40,9592894.00,12171322.60,9770453.00,10733459.00,5008795.00,1467360.40,530588.40,0.00,2.18
002203.SZ,海亮股份,7.82,-0.76,有色金属-有色冶炼加工-铜,海水淡化;特斯拉;稀有金属;海洋经济;工业4.0;再生金属;涉矿;铜冶炼;铜;钒电池;融资融券;深股通;钴;转融券标的;小金属概念;机构重仓,16.57,16.,12784003568.30,-2280818.38,2536780.80,-255962.40,-643100.00,10960208.30,8423427.52,9383490.60,9639453.00,6014428.10,8295246.48,1483900.00,2127000.00,-2.44
002295.SZ,精艺股份,7.62,1.87,有色金属-有色冶炼加工-铜,家用电器;国家科技大会;铜;紫光系;股权转让,32.87,5.,1906847850.00,-1495322.60,1909161.40,-413838.80,622174.50,11900813.30,9991651.90,5435581.10,5849419.90,1988720.90,3484043.50,622174.50,0.00,3.22
300697.SZ,电工合金,11.46,1.06,有色金属-有色冶炼加工-铜,铁路基建;铜,33.84,2.,595920000.00,2293369.90,-3738664.00,1445293.70,-522729.50,23687041.10,27425704.70,17185716.50,15740422.80,4870619.20,2577249.30,0.00,522729.50,-1.14
600255.SH,梦舟股份,2.00,0.00,有色金属-有色冶炼加工-铜,参股民营银行;村镇银行;新材料概念;股权转让;铜;安徽自贸区;3D打印;沪股通;锂电池;锂电制造;文化传媒;影视娱乐,63.37,12.,3539187110.00,-243761.40,899284.80,-655523.40,-1167889.00,4718184.40,3818899.60,10602157.60,11257681.00,9094119.00,9337880.40,3243681.00,4411570.00,-4.78
600362.SH,江西铜业,13.47,1.43,有色金属-有色冶炼加工-铜,稀有金属;MSCI概念;循环经济;稀土永磁;铜;赣南振兴;稀缺资源;铀矿;再生金属;鄱阳湖经济区;参股券商;融资融券;白银;沪股通;转融券标的;铜冶炼;地方国资改革;小金属概念;黄金概念;证金持股;外汇局持股,17.11,21.,27953582545.35,21874634.40,-6753469.00,-15121166.00,14987324.20,38103881.40,44857349.80,41120830.00,56241996.00,45236299.10,23361664.70,18096463.20,3109139.00,12.04
600490.SH,鹏欣资源,5.04,0.40,有色金属-有色冶炼加工-铜,超材料概念;临近空间;融资融券;白银;沪股通;铜;转融券标的;医保目录;涉矿;钴;小金属概念;黄金概念,26.78,12.,7516503308.16,2761022.00,-573761.00,-2187261.00,0.00,20323636.00,20897397.00,27650845.00,29838106.00,9943724.00,7182702.00,0.00,0.00,0.00
600711.SH,盛屯矿业,5.28,0.57,有色金属-有色冶炼加工-铜,互联网金融;供应链金融;沪锡;锂电池;黄金租赁;融资租赁;融资融券;沪股通;铜;锌;转融券标的;钴;涉矿;中非合作;小金属概念;黄金概念,15.41,16.,7904436170.40,-12178094.50,14323054.00,-2144959.00,-7150440.50,61189000.50,46865947.00,82516063.00,84661022.00,52728176.10,64906270.60,9320742.10,16471182.60,-3.64
601137.SH,博威合金,7.46,0.13,有色金属-有色冶炼加工-铜,新材料概念;4D打印;新能源;外贸;铜;富士康概念;多晶硅;太阳能;5G;光伏概念;机构重仓,13.46,11.,4206907139.66,0.00,846165.50,-846165.50,0.00,6824302.50,5978137.00,1697607.00,2543772.50,0.00,0.00,0.00,0.00,0.00
601212.SH,白银有色,3.25,-0.31,有色金属-有色冶炼加工-铜,铜;涉矿;铜冶炼;钼;中非合作;小金属概念;黄金概念,-69.10,7.,6385194026.25,-1788359.00,1369949.00,418410.00,-392455.10,10870343.90,9500394.90,13391884.00,12973474.00,6157386.00,7945745.00,961048.00,1353503.10,-1.29
603527.SH,众源新材,12.05,1.01,有色金属-有色冶炼加工-铜,--,22.09,0.,1295697361.60,-101446.42,-747462.00,848909.20,0.00,17201875.70,17949338.48,14114453.10,13265543.90,1725943.18,1827389.60,0.00,0.00,0.00
000060.SZ,中金岭南,4.20,1.21,有色金属-有色冶炼加工-铅锌,铟;裸眼3D;MSCI概念;稀缺资源;锌;锗涨价;电子商务;涉矿;铅;融资融券;白银;深股通;钴;稀有金属;转融券标的;广东国资改革;地方国资改革;小金属概念,14.61,18.,14986531169.40,3909266.30,-12529913.00,8620646.00,11143553.10,19909367.40,32439279.70,53122556.00,44501910.00,33793606.60,29884340.30,19680142.60,8536589.50,10.43
000426.SZ,兴业矿业,5.12,0.39,有色金属-有色冶炼加工-铅锌,融资融券;深股通;转融券标的;涉矿;金属镍;钌催化剂;钴;锌;小金属概念,12.71,9.,6810940892.16,-668889.60,1194186.00,-525297.00,2054000.00,20486788.20,19292601.60,31861539.00,32386836.00,10074324.00,10743213.60,2054000.00,0.00,3.29
000603.SZ,盛达矿业,9.87,-0.50,有色金属-有色冶炼加工-铅锌,参股民营银行;锌;涉矿;铅;白银;深股通;文化传媒;小金属概念;并购重组,20.19,9.,3881346675.99,-19154932.40,15462774.00,3692158.00,-5746080.00,58987271.00,43524496.60,54032677.00,50340519.00,17505891.40,36660823.80,2024337.00,7770417.00,-4.40
000688.SZ,国城矿业,11.64,-0.77,有色金属-有色冶炼加工-铅锌,铅;锌;涉矿;深股通;小金属概念;机构重仓,32.32,6.,13238113730.16,-3340668.00,-117158.00,3457826.00,0.00,6449604.90,6566762.90,18462218.50,15004392.50,3865379.00,7206047.00,0.00,0.00,0.00
000751.SZ,锌业股份,3.00,0.67,有色金属-有色冶炼加工-铅锌,锌电池;振兴东北;稀有金属;锌;铟;铜冶炼;参股保险;深股通;钴;小金属概念;证金持股,58.27,11.,4229596137.00,875205.00,-916755.50,41550.50,-381414.00,3642618.80,4559374.30,7069623.50,7028073.00,3826635.00,2951430.00,1432320.00,1813734.00,-2.62
000758.SZ,中色股份,3.90,0.52,有色金属-有色冶炼加工-铅锌,再生金属;涉矿;稀缺资源;稀有金属;央企控股;铌;东盟自贸区;MSCI潜力股;融资融券;深股通;锌;转融券标的;中非合作;央企国资改革;小金属概念;稀土永磁;有色铝,33.95,17.,7679844338.40,99433.00,-808291.40,708858.40,0.00,12611223.60,13419515.00,9627476.90,8918618.50,1311900.00,1212467.00,0.00,0.00,0.00
000975.SZ,银泰资源,9.49,0.64,有色金属-有色冶炼加工-铅锌,涉矿;铅;融资融券;白银;深股通;锌;转融券标的;小金属概念;黄金概念,29.44,9.,11661188867.25,-3517522.60,4541313.00,-1023790.00,0.00,42524897.80,37983585.20,48730236.00,49754026.00,10831760.70,14349283.30,0.00,0.00,0.00
002114.SZ,罗平锌电,7.66,1.19,有色金属-有色冶炼加工-铅锌,低碳;锌电池;稀有金属;锗涨价;锌;铟;地方国资改革;小金属概念,-13.21,8.,2477071588.72,72439.00,964070.60,-1036509.60,-858056.00,7673526.70,6709456.10,2709824.00,3746333.60,2255844.00,2183405.00,1036944.00,1895000.00,-6.79
600331.SH,宏达股份,2.35,0.86,有色金属-有色冶炼加工-铅锌,类稀土;成渝特区;稀缺资源;辉钼;涉矿;稀有金属;锌电池;铟;锗涨价;锌;融资融券;钼;转融券标的;磷酸一铵;小金属概念,216.58,15.,4775200000.00,-662467.70,134144.30,528323.40,1215729.80,3700549.20,3566404.90,10381113.60,9852790.20,6929076.80,7591544.50,3223290.80,2007561.00,5.79
600338.SH,西藏珠峰,22.44,0.76,有色金属-有色冶炼加工-铅锌,铟;锌;涉矿;稀有金属;锂电池;锂矿;沪股通;一带一路;贸易战影响股;锂电原料;小金属概念;机构重仓,14.30,12.,14653482981.72,1039041.00,4374645.00,-5413686.00,-1113500.00,23217181.50,18842536.50,11208437.00,16622123.00,3748518.00,2709477.00,0.00,1113500.00,-2.92
